year,fips,date,cases
2020,1053,5,1232
2020,1053,6,3917
2020,1053,7,18880
2020,1053,8,38541
2020,1053,9,45942
2020,1053,10,52638
2020,1053,11,56568
2020,1053,12,72035
2020,1055,3,38
2020,1055,4,2462
2020,1055,5,6220
2020,1055,6,11198
2020,1055,7,37925
2020,1055,8,73922
2020,1055,9,97097
2020,1055,10,123586
2020,1055,11,162360
2020,1055,12,260127
2020,1057,3,2
2020,1057,4,97
2020,1057,5,290
2020,1057,6,1317
2020,1057,7,3412
2020,1057,8,7834
2020,1057,9,11992
2020,1057,10,16564
2020,1057,11,22625
2020,1057,12,37698
2020,1059,3,22
2020,1059,4,571
2020,1059,5,10059
2020,1059,6,21504
2020,1059,7,30893
2020,1059,8,42560
2020,1059,9,50909
2020,1059,10,60634
2020,1059,11,70483
2020,1059,12,90590
2020,1061,4,91
2020,1061,5,704
2020,1061,6,1486
2020,1061,7,4057
2020,1061,8,10049
2020,1061,9,16096
2020,1061,10,25514
2020,1061,11,33086
2020,1061,12,44898
2020,1063,3,13
2020,1063,4,747
2020,1063,5,2428
2020,1063,6,3896
2020,1063,7,6485
2020,1063,8,8197
2020,1063,9,8893
2020,1063,10,10209
2020,1063,11,11476
2020,1063,12,17183
2020,1065,3,2
2020,1065,4,645
2020,1065,5,2958
2020,1065,6,7142
2020,1065,7,11727
2020,1065,8,15932
2020,1065,9,18086
2020,1065,10,22471
2020,1065,11,26356
2020,1065,12,37264
2020,1067,4,403
2020,1067,5,1352
2020,1067,6,3170
2020,1067,7,5554
2020,1067,8,9319
2020,1067,9,13480
2020,1067,10,19532
2020,1067,11,24320
2020,1067,12,32229
2020,1069,3,40
2020,1069,4,1557
2020,1069,5,4262
2020,1069,6,9701
2020,1069,7,24670
2020,1069,8,50709
2020,1069,9,76445
2020,1069,10,113640
2020,1069,11,143714
2020,1069,12,194780
2020,1071,3,42
2020,1071,4,914
2020,1071,5,1958
2020,1071,6,4062
2020,1071,7,15397
2020,1071,8,34757
2020,1071,9,43753
2020,1071,10,60282
2020,1071,11,82175
2020,1071,12,136659
2020,1073,3,1957
2020,1073,4,18785
2020,1073,5,41235
2020,1073,6,81233
2020,1073,7,244289
2020,1073,8,439303
2020,1073,9,552773
2020,1073,10,685788
2020,1073,11,848469
2020,1073,12,1327277
2020,1075,3,12
2020,1075,4,212
2020,1075,5,494
2020,1075,6,1374
2020,1075,7,3703
2020,1075,8,7768
2020,1075,9,9936
2020,1075,10,13877
2020,1075,11,17846
2020,1075,12,27450
2020,1077,3,87
2020,1077,4,678
2020,1077,5,3355
2020,1077,6,7806
2020,1077,7,21610
2020,1077,8,39014
2020,1077,9,47911
2020,1077,10,63689
2020,1077,11,101709
2020,1077,12,165081
2020,1079,3,19
2020,1079,4,262
2020,1079,5,959
2020,1079,6,2103
2020,1079,7,5502
2020,1079,8,11987
2020,1079,9,16952
2020,1079,10,23828
2020,1079,11,33240
2020,1079,12,51747
2020,1081,3,508
2020,1081,4,7711
2020,1081,5,14179
2020,1081,6,23470
2020,1081,7,58786
2020,1081,8,99391
2020,1081,9,164890
2020,1081,10,197831
2020,1081,11,217054
2020,1081,12,279149
2020,1083,3,124
2020,1083,4,1107
2020,1083,5,2041
2020,1083,6,6797
2020,1083,7,23883
2020,1083,8,45130
2020,1083,9,57359
