,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
0,28845.0,10001-2019,10001,181492,0.9289806243157928,87405,94087,38.0,11234,20980,70742,44470,31780,3.0,118674,49734,1342,4358,212,7172,167860,13632
1,28911.0,10001-2020,10001,182256,0.9376568147990644,88196,94060,38.1,10992,21365,70984,44511,31967,3.0,118412,50652,1355,4296,220,7321,168174,14082
2,30804.0,10001-2021,10001,184149,0.9348463356973996,88974,95175,38.3,10775,21574,71934,44386,33033,3.0,118375,52239,1391,4343,241,7560,169703,14446
3,37532.0,10003-2019,10003,559941,0.9383572076407016,271067,288874,38.8,31837,60062,223145,148224,89925,1.0,359883,148161,2766,33418,416,15297,501375,58566
4,38965.0,10003-2020,10003,570718,0.949686222128087,277995,292723,39.0,31611,62154,227046,150771,92012,1.0,364190,153022,2927,34170,431,15978,509191,61527
5,41428.0,10003-2021,10003,571708,0.9483491916355408,278276,293432,39.2,30924,61541,228044,148945,94971,1.0,362239,155269,3001,34573,442,16184,508731,62977
6,35491.0,10005-2019,10005,235235,0.9343392813091028,113625,121610,51.0,11780,21855,67061,64267,67750,2.0,194892,28671,2588,3226,461,5397,213279,21956
7,36739.0,10005-2020,10005,238912,0.944049343336534,116018,122894,51.4,11621,22184,67657,65130,69718,2.0,198150,28791,2668,3267,489,5547,216232,22680
8,39066.0,10005-2021,10005,247527,0.9422870190911872,120086,127441,52.0,11802,22419,70007,66994,73642,2.0,205985,29113,2732,3503,480,5714,223737,23790
9,56147.0,11001-2019,11001,708253,0.9018966521927104,335860,372393,34.2,45015,62268,362533,144996,88132,1.0,324529,326019,4318,31697,1100,20590,628415,79838
10,58659.0,11001-2020,11001,690093,0.9106464036236478,328910,361183,34.4,42654,63239,353106,140947,84624,1.0,319126,313838,4138,31308,1086,20597,611239,78854
11,63793.0,11001-2021,11001,670050,0.9081806428095436,318904,351146,34.9,40759,63458,337260,136905,85838,1.0,307274,306925,4067,30342,1063,20379,593131,76919
12,28646.0,12001-2019,12001,269489,0.9309072410185862,129923,139566,32.1,13796,24563,134277,54571,39682,2.0,188393,55757,1025,16460,194,7660,241308,28181
13,29821.0,12001-2020,12001,278684,0.9378085582766628,134870,143814,32.4,13887,25949,138284,56486,41336,2.0,194832,57533,1016,17049,207,8047,248639,30045
14,32323.0,12001-2021,12001,279238,0.9348933251106938,134921,144317,32.8,13524,25965,138232,56138,42493,2.0,194722,57696,1034,17315,214,8257,248450,30788
15,24686.0,12003-2019,12003,29288,1.114199090449722,15435,13853,37.2,1837,3593,11816,7501,4171,1.0,24223,4167,144,199,10,545,28453,835
16,24051.0,12003-2020,12003,28309,1.1254598693595614,14990,13319,37.5,1713,3475,11377,7293,4046,1.0,23269,4051,150,225,13,601,27467,842
17,25689.0,12003-2021,12003,28715,1.1335166059885575,15256,13459,37.5,1746,3490,11575,7318,4179,1.0,23489,4203,149,237,21,616,27763,952
18,29290.0,12005-2019,12005,173895,0.9824097401931168,86176,87719,41.8,9841,18163,63389,48335,32145,3.0,142763,19624,1420,4027,297,5764,162383,11512
19,30774.0,12005-2020,12005,174461,0.9953907036325372,87029,87432,41.9,9491,18339,63514,48795,32202,3.0,143130,19592,1457,4109,313,5860,162339,12122
20,32312.0,12005-2021,12005,179168,0.992371590289902,89241,89927,41.6,9835,18847,66023,49205,33098,3.0,146215,20637,1478,4358,333,6147,165943,13225
21,20529.0,12007-2019,12007,28348,1.2480570975416336,15738,12610,40.0,1491,2769,11382,7225,5168,6.0,21576,5810,167,182,13,600,27016,1332
22,21003.0,12007-2020,12007,28364,1.2611607142857142,15820,12544,40.1,1478,2807,11394,7295,5072,6.0,21634,5755,180,191,13,591,27028,1336
23,22656.0,12007-2021,12007,28540,1.2605940594059406,15915,12625,40.1,1468,2840,11497,7242,5152,6.0,21765,5784,185,191,14,601,27141,1399
24,32176.0,12009-2019,12009,601024,0.9565220222012436,293834,307190,47.6,27428,55566,194390,172472,144638,2.0,499412,65132,2807,15729,759,17185,535399,65625
25,33662.0,12009-2020,12009,608007,0.9696553466780268,299320,308687,47.4,27256,57122,197821,173962,145039,2.0,504300,66123,2897,16110,772,17805,539328,68679
26,36278.0,12009-2021,12009,616628,0.9721367576038636,303958,312670,47.2,26930,57379,202855,173062,149343,2.0,510290,67532,2974,16629,801,18402,544952,71676
27,32909.0,12011-2019,12011,1955475,0.9505498615994612,952950,1002525,40.7,112399,206329,744851,534398,333996,1.0,1232477,592142,8183,75903,2358,44412,1353115,602360
28,34063.0,12011-2020,12011,1941516,0.9636006161296096,952763,988753,40.9,108768,207010,735986,534448,330941,1.0,1218715,591529,8392,75535,2416,44929,1329760,611756
29,36451.0,12011-2021,12011,1930983,0.9632629697486066,947425,983558,41.3,105615,203536,729122,529937,338380,1.0,1207686,591169,8463,75703,2455,45507,1312540,618443
30,19304.0,12013-2019,12013,14140,1.181425485961123,7658,6482,41.9,679,1471,5309,3839,2662,6.0,11712,1748,191,124,20,345,13300,840
31,19512.0,12013-2020,12013,13615,1.183991017003529,7381,6234,41.6,653,1423,5133,3693,2524,6.0,11217,1725,198,123,22,330,12786,829
32,19982.0,12013-2021,12013,13641,1.192029567732605,7418,6223,41.8,654,1370,5165,3674,2586,6.0,11198,1744,210,124,24,341,12782,859
33,32144.0,12015-2019,12015,189669,0.9517287507717638,92489,97180,60.1,5450,11336,42311,51767,77428,3.0,171606,11346,759,2725,117,3116,174966,14703
34,33275.0,12015-2020,12015,187960,0.9651426599893358,92313,95647,60.0,5380,11490,42091,51677,75936,3.0,169894,11243,790,2681,135,3217,172790,15170
35,35656.0,12015-2021,12015,194843,0.9637274367321434,95622,99221,60.2,5459,11767,44081,53072,78993,3.0,175989,11616,784,2835,145,3474,178923,15920
36,26989.0,12017-2019,12017,150153,0.93951019142835,72735,77418,57.2,5475,11222,36502,40281,55415,3.0,139538,4771,651,2533,66,2594,141066,9087
37,28174.0,12017-2020,12017,154403,0.9501730366029252,75229,79174,56.9,5611,11793,37947,41561,56047,3.0,143199,4978,720,2630,89,2787,144577,9826
38,29948.0,12017-2021,12017,158083,0.9528956861194842,77135,80948,57.0,5652,12041,39539,42020,57364,3.0,146411,5249,758,2637,101,2927,147529,10554
39,30483.0,12019-2019,12019,219014,0.9716248210797332,107931,111083,39.9,11936,26022,82507,59993,35426,1.0,175518,27858,1199,6918,350,7171,196203,22811
40,32037.0,12019-2020,12019,218797,0.9805293553234246,108323,110474,40.1,11744,26254,81990,59886,35643,1.0,174156,28746,1245,6867,392,7391,195251,23546
41,33670.0,12019-2021,12019,222361,0.9788288689151908,109991,112370,40.2,11624,26441,83871,60116,36961,1.0,175805,30139,1252,7072,397,7696,197733,24628
42,45567.0,12021-2019,12021,385917,0.970874827639038,190107,195810,52.0,16718,32880,110278,95438,126809,2.0,344284,28527,1863,6107,357,4779,276703,109214
43,46785.0,12021-2020,12021,377079,0.9816642492274704,186795,190284,52.1,15914,32256,107488,94517,122922,2.0,336251,27775,1863,6008,385,4797,267992,109087
44,51296.0,12021-2021,12021,385980,0.9824446966856532,191281,194699,52.6,15764,32207,109726,96529,127681,2.0,344142,28145,1936,6314,398,5045,274217,111763
45,24275.0,12023-2019,12023,71766,1.075001445671659,37180,34586,40.5,4109,7965,26644,18338,13843,4.0,55662,13403,429,720,63,1489,67002,4764
46,24569.0,12023-2020,12023,69889,1.0802154954311396,36292,33597,40.5,3913,7831,25927,17813,13500,4.0,54122,12977,460,739,69,1522,65142,4747
47,25912.0,12023-2021,12023,70385,1.0854814814814815,36635,33750,40.7,3860,7871,26175,17699,13850,4.0,54415,13152,471,766,71,1510,65527,4858
48,18503.0,12027-2019,12027,37821,1.2791973002289985,21227,16594,41.3,1889,3554,14548,8931,8513,6.0,31805,4818,404,210,65,519,25834,11987
49,18193.0,12027-2020,12027,34080,1.2826523777628935,19150,14930,41.5,1697,3180,13151,8101,7580,6.0,28586,4271,396,239,80,508,23114,10966
50,19673.0,12027-2021,12027,34408,1.2723550389644698,19266,15142,42.1,1691,3104,13231,8227,7779,6.0,28853,4295,413,233,83,531,23352,11056
51,21144.0,12029-2019,12029,16887,1.219053876478318,9277,7610,46.4,776,1612,5619,4663,4029,6.0,14732,1657,109,71,3,315,16166,721
52,19911.0,12029-2020,12029,16805,1.2341132677479394,9283,7522,46.4,761,1604,5612,4626,4013,6.0,14649,1627,121,85,5,318,16090,715
53,20320.0,12029-2021,12029,17102,1.23059866962306,9435,7667,45.9,787,1624,5788,4603,4104,6.0,14851,1664,126,88,7,366,16339,763
54,31327.0,12031-2019,12031,959853,0.9402885812701134,465157,494696,36.5,64750,107675,398527,239246,138474,1.0,580811,296161,4440,48034,1167,29240,857878,101975
55,32233.0,12031-2020,12031,996373,0.950158439987552,485454,510919,36.7,65557,113623,413128,247424,144437,1.0,600577,308908,4631,50169,1211,30877,886330,110043
56,34077.0,12031-2021,12031,999935,0.9476609992539974,486532,513403,36.9,64203,113518,415588,245113,149041,1.0,600177,311439,4770,50605,1207,31737,886481,113454
57,28022.0,12033-2019,12033,319379,0.9756827812316352,157724,161655,37.4,19187,33480,129517,78967,54724,2.0,219629,74305,2835,10701,606,11303,300436,18943
58,29166.0,12033-2020,12033,322424,0.9828054855174958,159814,162610,37.5,19018,34238,130973,79422,54942,2.0,221848,74659,2844,10698,618,11757,302567,19857
59,31085.0,12033-2021,12033,322390,0.9807692307692308,159630,162760,37.6,18566,34134,131679,78139,56000,2.0,221931,74297,2857,10740,638,11927,301892,20498
60,29383.0,12035-2019,12035,115481,0.9261600560429664,55527,59954,52.4,4469,9870,32378,31705,35827,2.0,96766,12620,472,2926,106,2591,102941,12540
61,32722.0,12035-2020,12035,115968,0.9396534421623068,56180,59788,52.7,4343,9960,32276,32231,35931,2.0,97274,12463,520,2911,113,2687,103043,12925
62,35568.0,12035-2021,12035,120932,0.9378575434660684,58527,62405,52.9,4408,10188,33736,33628,37642,2.0,101366,13009,555,3069,124,2809,107167,13765
63,26574.0,12037-2019,12037,12113,1.3165041116848346,6884,5229,46.2,506,934,4342,3302,2923,6.0,10101,1592,114,54,9,243,11407,706
64,26211.0,12037-2020,12037,12456,1.316533382927283,7079,5377,46.2,505,979,4455,3398,3001,6.0,10410,1616,118,57,12,243,11712,744
65,26933.0,12037-2021,12037,12572,1.3268554506755506,7169,5403,46.7,473,946,4512,3437,3088,6.0,10483,1639,119,58,15,258,11813,759
66,20734.0,12039-2019,12039,45670,0.9019656838247544,21658,24012,41.8,2723,5000,16450,12387,8556,2.0,19033,25451,283,308,63,532,40782,4888
67,21087.0,12039-2020,12039,43701,0.9168786735678568,20903,22798,42.1,2530,4791,15568,11979,8260,2.0,18185,24300,285,310,67,554,38916,4785
68,21651.0,12039-2021,12039,43714,0.9050814956855224,20768,22946,42.3,2457,4687,15618,11924,8456,2.0,18425,24049,281,304,75,580,38828,4886
69,21578.0,12041-2019,12041,18572,1.0720740823385029,9609,8963,42.6,1003,1849,6671,5020,3827,2.0,16976,1038,135,104,18,301,17460,1112
70,22775.0,12041-2020,12041,17928,1.0836820083682008,9324,8604,42.1,950,1849,6453,4774,3691,2.0,16335,1023,154,103,19,294,16758,1170
71,24959.0,12041-2021,12041,18360,1.0759837177747626,9516,8844,42.1,985,1889,6630,4770,3868,2.0,16705,1076,144,109,19,307,17129,1231
72,21953.0,12043-2019,12043,13914,1.2583996104528483,7753,6161,47.9,410,1082,4811,3547,3928,6.0,10994,1883,725,93,14,205,10934,2980
73,22128.0,12043-2020,12043,12179,1.2696608274319792,6813,5366,48.3,356,947,4172,3144,3445,6.0,9572,1653,633,88,16,217,9486,2693
74,21645.0,12043-2021,12043,12234,1.2735551012822894,6853,5381,48.3,340,918,4255,3159,3439,6.0,9573,1704,642,93,11,211,9516,2718
75,23252.0,12045-2019,12045,13498,1.010126582278481,6783,6715,49.3,649,1304,3988,3924,3480,3.0,11471,1524,100,79,3,321,13096,402
76,27626.0,12045-2020,12045,14181,1.0192225544639044,7158,7023,49.3,640,1417,4200,4143,3625,3.0,12054,1615,102,79,5,326,13756,425
77,27704.0,12045-2021,12045,14363,1.009092180724577,7214,7149,49.6,592,1425,4276,4163,3729,3.0,12156,1627,112,100,4,364,13880,483
78,16136.0,12047-2019,12047,14470,1.3803257114657017,8391,6079,40.0,782,1348,5788,3768,2641,6.0,9066,4817,155,111,5,316,13009,1461
79,15532.0,12047-2020,12047,13988,1.3894772804919713,8134,5854,40.0,743,1336,5573,3619,2554,6.0,8726,4651,169,109,8,325,12521,1467
80,15624.0,12047-2021,12047,13993,1.4071907792878031,8180,5813,40.3,746,1319,5564,3594,2609,6.0,8732,4620,170,114,8,349,12454,1539
81,17754.0,12049-2019,12049,26806,1.1162074682245204,14139,12667,35.6,1839,3599,10394,6045,4531,6.0,23654,2029,312,308,40,463,15052,11754
82,20181.0,12049-2020,12049,25313,1.1184199514603732,13364,11949,35.7,1668,3436,9858,5755,4201,6.0,22283,1884,322,296,51,477,14020,11293
83,22377.0,12049-2021,12049,25425,1.132969798657718,13505,11920,36.0,1648,3365,9935,5776,4286,6.0,22259,1977,328,311,52,498,14192,11233
84,19167.0,12051-2019,12051,42069,1.1227671813502875,22251,19818,35.0,3059,5739,16824,10007,5782,4.0,34977,5039,833,417,84,719,18873,23196
85,20122.0,12051-2020,12051,39707,1.1226879076232226,21001,18706,35.2,2801,5476,15880,9497,5400,4.0,32788,4771,836,420,89,803,17535,22172
86,20473.0,12051-2021,12051,40313,1.1230777333052455,21325,18988,35.5,2813,5420,16137,9726,5530,4.0,33184,4868,857,439,92,873,17532,22781
87,25860.0,12053-2019,12053,194290,0.9320611370213104,93729,100561,48.8,8770,18110,59727,51793,53644,1.0,174018,11946,995,2788,181,4362,165597,28693
88,26520.0,12053-2020,12053,195508,0.9454693812565924,95014,100494,48.5,8651,18601,60956,52427,52574,1.0,174574,12280,1067,2882,202,4503,165191,30317
89,28400.0,12053-2021,12053,200638,0.9455051440428978,97509,103129,48.0,8845,19124,63555,53295,53434,1.0,178420,12975,1111,3057,216,4859,168146,32492
90,25752.0,12055-2019,12055,105890,0.9503794297502396,51598,54292,54.3,4574,9179,28807,24169,38125,3.0,90260,11308,684,1690,110,1838,83728,22162
91,27979.0,12055-2020,12055,101222,0.961172572801426,49609,51613,54.1,4233,8961,27662,23286,36050,3.0,86036,10872,703,1604,109,1898,79420,21802
92,28519.0,12055-2021,12055,103296,0.9646239872189888,50718,52578,54.0,4205,9073,28505,23507,36883,3.0,87670,11118,752,1646,107,2003,80487,22809
93,32343.0,12057-2019,12057,1476431,0.9588197443398542,722696,753735,37.6,89093,165174,614511,374525,215071,1.0,1090460,266794,7836,66784,1974,42583,1040438,435993
94,33616.0,12057-2020,12057,1463380,0.9704044810685624,720700,742680,37.8,85982,165434,607701,373195,212353,1.0,1077085,266736,7879,66494,2005,43181,1023776,439604
95,35954.0,12057-2021,12057,1478194,0.9697146154163908,727733,750461,38.0,84930,165693,614329,374682,219177,1.0,1083063,272285,8052,67802,2082,44910,1030273,447921
96,19201.0,12059-2019,12059,19661,1.1315047701647876,10437,9224,42.5,1082,1956,7106,5291,3977,6.0,17489,1322,214,141,37,458,19055,606
97,19028.0,12059-2020,12059,19622,1.1468271334792122,10482,9140,42.4,1023,2015,7119,5317,3904,6.0,17435,1334,230,143,36,444,18989,633
98,20993.0,12059-2021,12059,19784,1.1577053113752862,10615,9169,42.1,1016,2051,7241,5283,3951,6.0,17445,1419,233,154,37,496,19128,656
99,36516.0,12061-2019,12061,159739,0.922782478905112,76662,83077,54.5,6414,12373,43244,42140,54069,3.0,138583,15213,733,2617,81,2512,139425,20314
100,38274.0,12061-2020,12061,160345,0.9350848398542154,77483,82862,54.7,6343,12366,43370,42518,54213,3.0,138851,15316,779,2678,97,2624,139407,20938
101,40318.0,12061-2021,12061,163662,0.9354541154210028,79102,84560,55.0,6306,12410,44434,42842,56134,3.0,141742,15528,778,2715,92,2807,141834,21828
102,20019.0,12063-2019,12063,46257,1.1725061055795605,24965,21292,42.3,2410,4239,17563,12095,9427,6.0,32194,12213,420,312,115,1003,44000,2257
103,21058.0,12063-2020,12063,47214,1.192227329711659,25677,21537,42.2,2404,4431,17988,12326,9539,6.0,32892,12470,420,328,117,987,44804,2410
104,21660.0,12063-2021,12063,47694,1.196665438467207,25982,21712,41.9,2463,4432,18325,12316,9628,6.0,33183,12557,425,321,117,1091,45131,2563
105,24510.0,12065-2019,12065,14280,1.1071270473660912,7503,6777,48.3,599,1226,4537,4319,3455,2.0,9101,4778,66,108,5,222,13674,606
106,25795.0,12065-2020,12065,14560,1.1153566758680808,7677,6883,47.8,615,1310,4685,4334,3468,2.0,9395,4736,80,104,5,240,13907,653
107,27995.0,12065-2021,12065,14555,1.1152448771980816,7674,6881,48.2,599,1274,4690,4285,3562,2.0,9440,4663,85,109,5,253,13868,687
108,20776.0,12067-2019,12067,8384,1.2727026294388724,4695,3689,39.6,329,876,3516,2099,1428,9.0,7063,1072,66,27,10,146,7200,1184
109,17022.0,12067-2020,12067,8252,1.287773773218741,4645,3607,40.0,342,825,3447,2107,1418,9.0,6934,1081,70,27,9,131,7069,1183
110,20437.0,12067-2021,12067,8382,1.3135523047198454,4759,3623,40.2,344,825,3496,2179,1442,9.0,7020,1107,70,28,9,148,7213,1169
111,28348.0,12069-2019,12069,366941,0.9394344608879492,177741,189200,47.3,17852,35645,116624,93779,98914,1.0,305348,42645,2205,8359,678,7706,305824,61117
112,29426.0,12069-2020,12069,385875,0.9503608831021796,188027,197848,47.1,18513,38004,123324,99118,102393,1.0,319582,45906,2381,9028,694,8284,319254,66621
113,31968.0,12069-2021,12069,395804,0.9520331418144156,193039,202765,46.8,18731,38773,128006,100650,104866,1.0,326079,48384,2427,9417,738,8759,324834,70970
114,33543.0,12071-2019,12071,772268,0.960100915242364,378274,393994,49.2,35190,67684,240175,196583,224905,2.0,670113,70345,3806,13539,842,13623,599128,173140
115,34818.0,12071-2020,12071,764679,0.9703143519711416,376579,388100,49.2,34425,67451,237942,196556,220340,2.0,662357,70108,3827,13554,886,13947,587549,177130
116,37550.0,12071-2021,12071,787976,0.9698907527311816,387966,400010,49.5,35036,68403,245335,201919,228930,2.0,681544,72511,4046,14190,931,14754,600617,187359
117,30586.0,12073-2019,12073,293866,0.8973786157024793,138986,154880,31.6,15248,27219,146329,60955,41067,2.0,180692,94177,998,10680,202,7117,274201,19665
118,31778.0,12073-2020,12073,292378,0.9026974262193732,138713,153665,31.9,14833,27691,144822,60708,41172,2.0,178935,94460,1008,10517,221,7237,272321,20057
119,33764.0,12073-2021,12073,292817,0.9011745304150788,138798,154019,32.1,14467,27726,144942,60002,42438,2.0,178709,94932,1053,10580,222,7321,272257,20560
120,21579.0,12075-2019,12075,41620,0.9647830807723174,20437,21183,47.6,2146,4226,12795,11549,10442,6.0,36166,3874,305,383,43,849,37957,3663
121,22772.0,12075-2020,12075,43051,0.9702974828375286,21201,21850,47.8,2133,4415,13230,11943,10825,6.0,37385,4017,326,400,40,883,39091,3960
122,24553.0,12075-2021,12075,44158,0.9694928861335356,21737,22421,47.7,2170,4457,13716,12056,11190,6.0,38269,4179,342,403,43,922,39961,4197
123,17872.0,12077-2019,12077,8341,1.6295712484237077,5169,3172,39.5,363,707,3701,2221,1256,8.0,6403,1643,103,40,4,148,7759,582
124,19585.0,12077-2020,12077,7974,1.6325519973588642,4945,3029,39.7,338,673,3527,2122,1222,8.0,6104,1584,101,40,4,141,7408,566
125,20432.0,12077-2021,12077,7900,1.643908969210174,4912,2988,40.1,318,665,3478,2090,1260,8.0,6032,1591,96,38,2,141,7320,580
126,19510.0,12079-2019,12079,18599,1.1294939317609345,9865,8734,43.5,907,1781,6763,5013,3936,6.0,11067,7024,134,85,5,284,17466,1133
127,18909.0,12079-2020,12079,17976,1.1428060555489332,9587,8389,43.5,871,1704,6524,4871,3795,6.0,10686,6754,143,88,4,301,16863,1113
128,20455.0,12079-2021,12079,18288,1.143962485345838,9758,8530,43.5,909,1691,6668,4920,3875,6.0,10974,6754,152,93,4,311,17108,1180
129,33853.0,12081-2019,12081,402977,0.9334388868897684,194552,208425,49.3,18315,36922,122843,107397,113262,2.0,345778,37538,2126,9290,385,7860,335846,67131
130,35146.0,12081-2020,12081,401443,0.942359612537377,194765,206678,49.5,17772,36947,121848,107757,112668,2.0,344074,37298,2190,9431,408,8042,333444,67999
131,38008.0,12081-2021,12081,412703,0.9449049703812966,200506,212197,49.8,17967,36870,125623,110329,117219,2.0,353644,37895,2303,9940,413,8508,342222,70481
132,25839.0,12083-2019,12083,365997,0.9210524934520966,175478,190519,48.7,18108,34404,112283,90844,106360,2.0,300127,49602,1935,6545,302,7486,314048,51949
133,26990.0,12083-2020,12083,377370,0.9326934895726636,182114,195256,48.5,18498,36066,116663,93887,108018,2.0,308796,51471,2075,6785,330,7913,321575,55795
134,28969.0,12083-2021,12083,385915,0.9322705173717336,186194,199721,48.4,18368,36851,120538,94944,110887,2.0,315135,52963,2168,6999,335,8315,326211,59704
135,42199.0,12085-2019,12085,161212,0.9726396162693944,79488,81724,53.3,6594,12994,44295,44488,51263,2.0,145003,9008,1807,2510,291,2593,138695,22517
136,43758.0,12085-2020,12085,158529,0.9834968219808818,78605,79924,53.2,6386,13026,43614,43806,50063,2.0,142360,8887,1864,2486,299,2633,135808,22721
137,46973.0,12085-2021,12085,159942,0.9878695981804396,79483,80459,53.3,6272,13014,44387,43564,51121,2.0,143558,8992,1870,2510,309,2703,136641,23301
138,28224.0,12086-2019,12086,2711612,0.9466434261232132,1318644,1392968,40.4,156739,270016,1068158,735293,451051,1.0,2139786,483947,8359,44350,1353,33817,852714,1858898
139,29598.0,12086-2020,12086,2692459,0.9604475058067992,1319069,1373390,40.6,151923,272742,1051937,741162,443235,1.0,2129251,474938,8578,44024,1333,34335,837311,1855148
140,31813.0,12086-2021,12086,2662777,0.961619609882735,1305339,1357438,41.0,145537,266857,1033128,736646,448951,1.0,2110014,463935,8733,43934,1355,34806,823913,1838864
141,46028.0,12087-2019,12087,73897,1.0861893738354695,38475,35422,48.2,3326,5653,24295,22818,17198,4.0,65533,5420,373,1087,113,1371,55338,18559
142,47382.0,12087-2020,12087,82809,1.0960589262662312,43302,39507,48.2,3660,6533,27250,25497,19168,4.0,73375,6163,427,1239,136,1469,61592,21217
143,50050.0,12087-2021,12087,82170,1.0979931573303376,43004,39166,48.5,3455,6547,26785,25139,19505,4.0,72789,6107,424,1241,142,1467,61038,21132
144,36553.0,12089-2019,12089,88583,0.9662390126964396,43531,45052,45.8,4479,8953,28899,25094,20098,1.0,80156,5408,424,925,71,1599,84434,4149
145,37787.0,12089-2020,12089,90993,0.9804335524311149,45047,45946,46.0,4528,9297,29611,25704,20779,1.0,82199,5594,434,986,76,1704,86489,4504
146,40201.0,12089-2021,12089,94189,0.9759791889567204,46522,47667,46.0,4594,9465,30822,26370,21785,1.0,84790,6006,458,1070,85,1780,89283,4906
147,33019.0,12091-2019,12091,211411,1.029987325241973,107267,104144,37.0,13655,23749,86129,51196,34178,3.0,171142,22219,1520,6741,458,9331,190779,20632
148,34357.0,12091-2020,12091,211809,1.0413554486839696,108050,103759,37.2,13367,24309,86317,51095,34133,3.0,171103,22196,1527,6831,474,9678,190547,21262
149,36762.0,12091-2021,12091,213255,1.0434161859680726,108893,104362,37.3,13240,24275,87309,50914,34873,3.0,171965,22455,1558,6894,505,9878,191482,21773
150,21367.0,12093-2019,12093,42141,1.1599692465402358,22631,19510,41.5,2556,4372,15514,10704,8484,4.0,36605,3750,632,421,54,679,31167,10974
151,23133.0,12093-2020,12093,39641,1.1742540587977184,21409,18232,41.6,2389,4183,14482,10205,7902,4.0,34345,3562,621,388,60,665,29055,10586
152,24617.0,12093-2021,12093,40266,1.1741900647948165,21746,18520,41.6,2468,4198,14724,10312,8066,4.0,34836,3666,649,373,62,680,29344,10922
153,30456.0,12095-2019,12095,1395371,0.9627265502472095,684436,710935,35.6,84100,153832,630866,338815,170486,1.0,946967,319239,8285,79733,2807,38340,940041,455330
154,31409.0,12095-2020,12095,1429899,0.9721085536251431,704838,725061,36.1,83489,158169,642143,351956,175965,1.0,969895,326276,8610,82120,2871,40127,958822,471077
155,33498.0,12095-2021,12095,1422746,0.9723270405376556,701392,721354,36.5,80942,154918,634827,351749,182193,1.0,961742,325744,8725,83098,2877,40560,952475,470271
156,22196.0,12097-2019,12097,374170,0.9723053892215568,184458,189712,36.5,23096,46002,159206,90657,49807,1.0,295245,53074,3161,11070,927,10693,166397,207773
157,24146.0,12097-2020,12097,390855,0.98560789254435,194011,196844,36.7,23628,48444,165936,95449,51639,1.0,307083,56319,3416,11665,966,11406,171525,219330
158,25491.0,12097-2021,12097,403282,0.9835914789802714,199973,203309,36.9,23843,49697,171049,98683,53935,1.0,314736,59684,3598,12220,983,12061,176193,227089
159,39933.0,12099-2019,12099,1497800,0.9406154567727842,725983,771817,45.2,76232,141567,511153,387143,365302,1.0,1117599,297297,9003,44524,1756,27621,1153081,344719
160,40957.0,12099-2020,12099,1492466,0.9518263887708248,727815,764651,45.2,74763,143434,508067,389178,360045,1.0,1109912,298459,9099,44822,1784,28390,1140261,352205
161,43733.0,12099-2021,12099,1497987,0.9516271083097304,730429,767558,45.4,73714,142101,509280,387900,367614,1.0,1111529,300779,9247,45542,1779,29111,1139812,358175
162,29001.0,12101-2019,12101,554032,0.9445450588945514,269116,284916,44.4,28448,57629,188607,147341,125381,1.0,484107,37529,2725,15737,591,13343,462290,91742
163,29498.0,12101-2020,12101,565745,0.955740923830002,276471,289274,44.1,28354,60032,193746,151167,125439,1.0,491179,40090,2913,16849,587,14127,468024,97721
164,31931.0,12101-2021,12101,584067,0.9553501483083474,285365,298702,43.9,28756,61784,202369,154797,128954,1.0,503596,43308,3001,18348,619,15195,478357,105710
165,35196.0,12103-2019,12103,975367,0.9238387344918044,468377,506990,48.8,41157,77727,316742,283190,247523,1.0,803881,108760,3854,35121,1170,22581,876464,98903
166,36754.0,12103-2020,12103,958752,0.9343404997094712,463104,495648,48.9,39244,77366,311588,279047,242404,1.0,789534,106466,3840,34766,1196,22950,859254,99498
167,39539.0,12103-2021,12103,956615,0.9339816228127812,461980,494635,49.1,37997,75786,311946,274343,247356,1.0,787153,105781,3907,35162,1201,23411,855421,101194
168,24864.0,12105-2019,12105,724967,0.9614748798034648,355364,369603,40.2,41563,81082,271209,174063,147878,2.0,569691,118799,4986,13830,913,16748,546974,177993
169,25820.0,12105-2020,12105,729233,0.972195252557761,359476,369757,40.1,41091,82533,274232,176205,145480,2.0,571469,120361,5097,13967,934,17405,540317,188916
170,27909.0,12105-2021,12105,753520,0.972498318120064,371507,382013,39.9,42255,84877,287019,179640,149543,2.0,587456,126299,5505,14636,1040,18584,547068,206452
171,20915.0,12107-2019,12107,74309,0.9764083195914676,36711,37598,45.4,4253,8057,23650,19982,17462,4.0,59555,12265,547,523,98,1321,66718,7591
172,22257.0,12107-2020,12107,73347,0.9860550756816766,36416,36931,45.0,4127,8078,23514,19597,17109,4.0,58756,12016,564,510,103,1398,65650,7697
173,22814.0,12107-2021,12107,74167,0.9847730678655534,36799,37368,45.0,4075,8104,23910,19519,17581,4.0,59428,12109,593,525,103,1409,66248,7919
174,43194.0,12109-2019,12109,265068,0.9499613786000662,129133,135935,44.0,12928,30186,89238,74436,54616,1.0,234830,14662,878,8758,231,5709,245226,19842
175,43433.0,12109-2020,12109,276916,0.963358432240042,135874,141042,44.0,13205,31928,93077,78057,56721,1.0,244443,15488,899,9634,251,6201,254988,21928
