,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
5136,37105.0,38081-2019,38081,3950,1.15493726132024,2117,1833,44.5,240,416,1289,1036,918,9.0,3692,83,55,38,5,77,3822,128
5137,38042.0,38081-2020,38081,3842,1.175537938844847,2076,1766,43.7,236,428,1262,1003,867,9.0,3585,83,57,34,5,78,3716,126
5138,41348.0,38081-2021,38081,3829,1.1583990980834271,2055,1774,43.7,238,428,1256,992,869,9.0,3592,74,57,33,5,68,3699,130
5139,32627.0,38083-2019,38083,1295,1.065390749601276,668,627,54.5,68,120,315,356,427,9.0,1238,4,23,7,1,22,1272,23
5140,35335.0,38083-2020,38083,1258,1.069078947368421,650,608,54.5,67,105,320,333,418,9.0,1195,4,25,7,1,26,1237,21
5141,36999.0,38083-2021,38083,1268,1.0551053484602917,651,617,53.9,73,108,328,318,429,9.0,1196,5,28,7,1,31,1243,25
5142,15649.0,38085-2019,38085,4259,0.9920486435921422,2121,2138,28.1,418,788,1676,932,366,3.0,562,29,3498,7,1,162,4034,225
5143,17460.0,38085-2020,38085,3884,0.9928168291431504,1935,1949,28.0,363,743,1488,873,329,3.0,439,29,3251,6,1,158,3683,201
5144,15928.0,38085-2021,38085,3738,0.9788247750132344,1849,1889,27.8,336,716,1426,850,327,3.0,442,28,3105,6,1,156,3540,198
5145,33798.0,38087-2019,38087,754,1.1002785515320337,395,359,50.3,43,76,217,222,185,9.0,716,8,25,0,0,5,722,32
5146,36040.0,38087-2020,38087,701,1.1702786377708978,378,323,49.6,40,74,211,197,174,9.0,659,7,29,0,0,6,668,33
5147,35915.0,38087-2021,38087,690,1.1362229102167185,367,323,50.2,40,70,198,191,183,9.0,646,7,30,0,0,7,657,33
5148,38103.0,38089-2019,38089,31483,1.0716588800421136,16286,15197,33.8,2757,4215,13015,6841,4232,7.0,28869,917,592,472,26,607,29684,1799
5149,37780.0,38089-2020,38089,33805,1.0947453216011898,17667,16138,33.6,2890,4769,14025,7232,4413,7.0,30865,1024,732,519,28,637,31687,2118
5150,37099.0,38089-2021,38089,33046,1.0812444892303816,17168,15878,34.2,2671,4756,13602,7005,4565,7.0,30116,991,719,519,34,667,30949,2097
5151,39011.0,38091-2019,38091,1900,1.0674646354733406,981,919,47.7,127,202,559,510,485,8.0,1842,11,22,4,0,21,1859,41
5152,38907.0,38091-2020,38091,1797,1.1116333725029377,946,851,47.1,121,195,525,475,459,8.0,1742,10,19,4,0,22,1754,43
5153,38170.0,38091-2021,38091,1810,1.126909518213866,959,851,46.9,108,214,523,468,474,8.0,1752,9,22,4,0,23,1766,44
5154,31991.0,38093-2019,38093,20695,1.0453646965803518,10577,10118,40.9,1095,2140,7828,5320,4076,7.0,19384,379,394,180,17,341,20133,562
5155,31461.0,38093-2020,38093,21529,1.0601913875598086,11079,10450,40.9,1152,2234,8144,5543,4197,7.0,20118,390,473,193,14,341,20923,606
5156,32970.0,38093-2021,38093,21576,1.0615325816931014,11110,10466,40.7,1160,2268,8208,5411,4270,7.0,20091,431,490,187,15,362,20933,643
5157,37239.0,38095-2019,38095,2166,1.0727272727272728,1121,1045,49.6,123,249,604,642,522,9.0,2010,7,111,12,0,26,2103,63
5158,36427.0,38095-2020,38095,2138,1.1022615535889873,1121,1017,50.5,103,255,586,629,539,9.0,1977,6,110,13,0,32,2078,60
5159,32019.0,38095-2021,38095,2140,1.0878048780487806,1115,1025,50.4,115,257,589,591,561,9.0,1962,7,121,13,0,37,2073,67
5160,33321.0,38097-2019,38097,8037,1.0476433121019109,4112,3925,41.5,483,923,2816,2093,1623,8.0,7636,68,128,39,1,165,7738,299
